mode,K,n_targets,n_distractors,J,h_mean,h_se,h_ci95,n_seeds,v_mean,v_se,v_ci95,r_mean,r_se,r_ci95
copy,5,3,5,20,69.3943,3.866538899482328,10.733511984962941,5,68.948056,3.947834951216426,10.959189824576798,1.0066000000000002,0.005095095681142804,0.014143985610852422
copy,5,3,5,40,67.637626,2.6638244130884465,7.394776570733527,5,66.953442,2.6175962699839723,7.266447245475507,1.0102,0.009167333309092668,0.025448517266041245
copy,5,3,5,80,74.718178,3.355339082995042,9.314421294394235,5,73.916438,3.205571906018331,8.898667611106886,1.0106,0.009222797840135069,0.02560248680421495
copy,5,3,10,20,69.39388199999999,3.867556087609331,10.736335699203503,5,68.950076,3.947941984202148,10.959486948145162,1.0066000000000002,0.005095095681142804,0.014143985610852422
copy,5,3,10,40,67.639902,2.6625500438064997,7.391238921606843,5,66.95219399999999,2.6165676434894625,7.263591778326747,1.0104,0.009287626176801027,0.02578245026679965
copy,5,3,10,80,74.720754,3.3557217573788796,9.31548359848377,5,73.91741400000001,3.206362821513811,8.900863192522339,1.0106,0.009222797840135069,0.02560248680421495
copy,5,5,5,20,63.88582,1.213390753401394,3.3683727314422693,5,63.661782,1.2330720397868096,3.423007982448183,1.0036,0.0025416530054277455,0.007055628743067421
copy,5,5,5,40,67.018494,2.269331747077981,6.299664929888475,5,67.033146,2.2662243082064926,6.291038679581223,0.9996,0.00040000000000000034,0.001110400000000001
copy,5,5,5,80,66.962808,1.5304334513770939,4.2484832610228125,5,66.85198199999999,1.5683402966971167,4.353712663631196,1.0016,0.0008124038404635913,0.002255233061126929
copy,5,5,10,20,63.883708,1.2142513472028762,3.370761739835184,5,63.657948,1.2339361002231852,3.425406614219562,1.0036,0.0025416530054277455,0.007055628743067421
copy,5,5,10,40,67.018174,2.2685352224256947,6.297453777453728,5,67.032722,2.2666516045444656,6.292224854215436,0.9996,0.00040000000000000034,0.001110400000000001
copy,5,5,10,80,66.963886,1.5322374851458234,4.2534912587648055,5,66.85152400000001,1.5670928020911852,4.35024961860513,1.0016,0.0008124038404635913,0.002255233061126929
copy,5,8,5,20,63.07378799999999,2.3528805334257834,6.531596360789974,5,63.070582,2.353882302519393,6.534377271793835,1.0,0.0,0.0
copy,5,8,5,40,66.143298,1.8305052687588739,5.081482626074633,5,66.144046,1.8306517832253086,5.081889350233457,1.0,0.0,0.0
copy,5,8,5,80,65.79601,1.9006351538867219,5.27616318718954,5,65.791236,1.8992420957755762,5.272296057873,1.0,0.0,0.0
copy,5,8,10,20,63.074451999999994,2.353538421614144,6.5334226584008634,5,63.06817600000001,2.3526554558149817,6.530971545342389,1.0,0.0,0.0
copy,5,8,10,40,66.144154,1.8295354645854778,5.078790449689286,5,66.141978,1.830258881979267,5.080798656374444,1.0,0.0,0.0
copy,5,8,10,80,65.796336,1.9021676677322639,5.280417445624764,5,65.789984,1.898966606319342,5.271531299142493,1.0,0.0,0.0
