mode,n_slots,nt,nd,J,h_mean,h_se,n_seeds
slot_dense_update,16,8,50,40,150.97786333333332,1.2198677711994457,3
slot_dense_update,16,8,50,80,158.14191666666667,11.71469071873764,3
slot_dense_update,16,8,50,160,148.65000666666666,2.7570047932332464,3
slot_dense_update,32,8,50,40,143.24125666666666,4.433919375918377,3
slot_dense_update,32,8,50,80,147.80997333333335,9.979806049420219,3
slot_dense_update,32,8,50,160,144.33701,2.558393557182575,3
slot_dense_update,64,8,50,40,137.49651333333335,7.878704017967963,3
slot_dense_update,64,8,50,80,142.0358666666667,11.09050625570257,3
slot_dense_update,64,8,50,160,139.06591333333333,7.506211028933159,3
slot_dense_update,16,16,10,40,153.70049666666668,1.6125501583344453,3
slot_dense_update,16,16,10,80,160.76551666666668,2.2130255896195856,3
slot_dense_update,16,16,10,160,153.24951333333334,4.438801023573569,3
slot_dense_update,32,16,10,40,150.34529,5.310140317508888,3
slot_dense_update,32,16,10,80,157.50831333333335,4.638228506460678,3
slot_dense_update,32,16,10,160,150.09930666666665,1.6598325342870492,3
slot_dense_update,64,16,10,40,140.74875333333333,8.351221157885297,3
slot_dense_update,64,16,10,80,147.23866999999998,11.14271081356776,3
slot_dense_update,64,16,10,160,141.30922,10.249948975874627,3
slot_dense_update,16,16,20,40,154.45228999999998,1.76904790908367,3
slot_dense_update,16,16,20,80,162.49306666666666,3.8453620968006574,3
slot_dense_update,16,16,20,160,153.00748666666667,4.7704771749352,3
slot_dense_update,32,16,20,40,151.36207,4.438469817654885,3
slot_dense_update,32,16,20,80,158.34448999999998,3.952344319126729,3
slot_dense_update,32,16,20,160,150.98150333333334,2.2241388648518376,3
slot_dense_update,64,16,20,40,140.85701666666668,8.234601817933342,3
slot_dense_update,64,16,20,80,147.51482000000001,11.055262519706774,3
slot_dense_update,64,16,20,160,141.33858999999998,10.071106559048015,3
slot_dense_update,16,16,50,40,153.59574,1.668414944680535,3
slot_dense_update,16,16,50,80,160.82495,2.416625645171381,3
slot_dense_update,16,16,50,160,153.13764,4.4466203381257285,3
slot_dense_update,32,16,50,40,150.97492666666668,4.91594119792719,3
slot_dense_update,32,16,50,80,157.97821333333331,4.336196142497606,3
slot_dense_update,32,16,50,160,150.55124,1.872636330871537,3
slot_dense_update,64,16,50,40,141.35937333333334,7.757237971463237,3
slot_dense_update,64,16,50,80,148.00160666666667,10.605466080322817,3
slot_dense_update,64,16,50,160,141.84369,9.663651978958754,3
slot_dense_update,16,32,10,40,160.63978666666665,4.235295161797399,3
slot_dense_update,16,32,10,80,161.59976,2.321181738518833,3
slot_dense_update,16,32,10,160,153.87938333333332,2.405088714180368,3
slot_dense_update,32,32,10,40,153.89392333333333,7.359044003719362,3
slot_dense_update,32,32,10,80,155.59804333333332,5.575717893928797,3
slot_dense_update,32,32,10,160,149.22815,1.8723492833959456,3
slot_dense_update,64,32,10,40,141.90656333333334,12.31345944454865,3
slot_dense_update,64,32,10,80,144.19348666666667,11.23309161364661,3
slot_dense_update,64,32,10,160,138.63196,11.255121515480553,3
slot_dense_update,16,32,20,40,161.29331,4.717942385217661,3
slot_dense_update,16,32,20,80,162.60315333333332,2.9316927150842007,3
slot_dense_update,16,32,20,160,154.60835999999998,2.405308257174812,3
slot_dense_update,32,32,20,40,153.81587333333334,7.309866159796933,3
slot_dense_update,32,32,20,80,155.52388,5.561500719688888,3
slot_dense_update,32,32,20,160,149.20372666666665,1.8072371929950002,3
slot_dense_update,64,32,20,40,141.73422333333335,12.532319678080793,3
slot_dense_update,64,32,20,80,144.02883,11.495372292432867,3
slot_dense_update,64,32,20,160,138.44847000000001,11.530305369331435,3
slot_dense_update,16,32,50,40,160.32906666666668,4.554697390095688,3
slot_dense_update,16,32,50,80,161.55829,2.4266362250105247,3
slot_dense_update,16,32,50,160,153.66836333333333,2.2921831647095234,3
slot_dense_update,32,32,50,40,153.82512666666668,7.3240335663948,3
slot_dense_update,32,32,50,80,155.60474333333335,5.56067465120715,3
slot_dense_update,32,32,50,160,149.27688666666666,1.8625198937132932,3
slot_dense_update,64,32,50,40,142.20408333333333,12.155491053853444,3
slot_dense_update,64,32,50,80,144.47004666666666,11.102801442039048,3
slot_dense_update,64,32,50,160,138.85999333333334,11.141380413085166,3
dense_jepa_flatten,,8,10,40,146.81120666666666,0.44666787998591795,3
dense_jepa_flatten,,8,10,80,150.60410666666667,7.158361717677531,3
dense_jepa_flatten,,8,10,160,147.66409,0.9686101073875576,3
dense_jepa_flatten,,8,20,40,146.23288333333332,0.9269939492131453,3
dense_jepa_flatten,,8,20,80,149.63935333333333,7.106183087746733,3
dense_jepa_flatten,,8,20,160,147.9548133333333,1.1210233264051364,3
dense_jepa_flatten,,8,50,40,145.37651666666667,1.7956340273223181,3
dense_jepa_flatten,,8,50,80,150.00015666666667,7.471965035487282,3
