mode,K,n_targets,n_distractors,J,h_mean,h_se,h_ci95,n_seeds,v_mean,v_se,v_ci95,r_mean,r_se,r_ci95
copy,5,5,5,40,63.898357999999995,2.2227389288249757,6.170323266418132,5,63.91076,2.1826009577955374,6.058900258840412,0.9996,0.0008124038404635968,0.0022552330611269444
copy,5,5,5,80,68.32587,2.8529425351555897,7.919768477591917,5,68.070234,2.9006848065424142,8.05230102296174,1.004,0.0035213633723318047,0.00977530472159309
copy,5,5,10,20,68.7558,2.953267136694545,8.198269571464056,5,68.580844,2.9869556614345663,8.291788916142355,1.0026,0.00259999999999998,0.007217599999999944
copy,5,5,10,40,63.901576,2.2229034420518583,6.170779955135958,5,63.90655399999999,2.18261839281309,6.058948658449137,1.0,0.0009486832980504971,0.00263354483538818
copy,5,5,10,80,68.326836,2.8525613868497213,7.9187104098948256,5,68.070684,2.9013001276920645,8.054009154473171,1.004,0.0035213633723318047,0.00977530472159309
copy,5,8,2,20,66.086114,2.5167955238171418,6.986624374116385,5,66.08673,2.516004602408349,6.984428776285577,1.0,0.0,0.0
copy,5,8,2,40,64.161022,2.0926993385348025,5.809333363772612,5,64.15308,2.0878517790494615,5.795876538641305,1.0,0.0,0.0
copy,5,8,2,80,68.130634,2.373380375663791,6.5885039228426825,5,68.130838,2.3726496452181896,6.586475415125694,1.0,0.0,0.0
copy,5,8,5,20,66.088076,2.516860092632484,6.986803617147775,5,66.085196,2.5163397741274913,6.985359212977915,1.0,0.0,0.0
copy,5,8,5,40,64.161564,2.093033174599963,5.810260092689497,5,64.151914,2.0883684159759746,5.797310722749305,1.0,0.0,0.0
copy,5,8,5,80,68.13147000000001,2.373667847793789,6.589301945475558,5,68.13098,2.373851910595942,6.589812903814335,1.0,0.0,0.0
copy,5,8,10,20,66.086452,2.517481208578129,6.988527835012886,5,66.084676,2.516753987358717,6.9865090689077975,1.0,0.0,0.0
copy,5,8,10,40,64.163466,2.092956674920911,5.810047729580449,5,64.152394,2.0887401202533535,5.798342573823309,1.0,0.0,0.0
copy,5,8,10,80,68.132476,2.373550050438371,6.588974940016918,5,68.129044,2.3741994989734945,6.5907778091504206,1.0,0.0,0.0
